site_id,run_id,ts_iso,req_id,session_id,provider,caption,top1_id,top1_score,top2_id,top2_score,margin,gt_node_id,hit_top1,hit_top2,hit_hop1,low_conf,low_conf_rule,client_start_ms,server_recv_ms,server_resp_ms
SCENE_A_MS,WARMUP,2025-08-18T19:04:35.941415,b107ca31-763c-4b15-9949-4740195b5da6,T06,base,warmup,First photo - preset output,,,,,,,,,,,,,,1755543874740,1755543874938,1755543875941
SCENE_A_MS,BASE-SCENE_A_MS-1755543875930,2025-08-18T19:04:48.777009,192d2497-7f44-4c3f-aee1-9fe922898dc9,T06,base,there is a desk with a chair and a computer on it,drawer wall,0.351488,poi_component_drawer_wall,0.336828,0.014659,,,,,true,score<0.45,1755543885100,1755543887557,1755543888776
SCENE_A_MS,BASE-SCENE_A_MS-1755543875930,2025-08-18T19:04:57.285922,774f6dee-7b97-4b6f-8cf1-8a48df7bdabd,T06,base,there is a desk with a chair and a computer on it,drawer wall,0.351488,poi_component_drawer_wall,0.336828,0.014659,,,,,true,score<0.45,1755543895246,1755543895464,1755543897285
SCENE_A_MS,BASE-SCENE_A_MS-1755543875930,2025-08-18T19:05:11.490841,f7a3cb66-3dea-4c56-a752-206f55451511,T06,base,there is a large table with many boxes of electronics on it,poi_3d_printer_table,0.496669,cardboard boxes,0.472754,0.023915,,,,,true,margin<0.08,1755543910227,1755543910439,1755543911490
SCENE_A_MS,BASE-SCENE_A_MS-1755543875930,2025-08-18T19:05:20.476446,d3dbac77-31d1-415d-a912-14da600a620d,T06,base,there is a room with a lot of work equipment on the table,poi_3d_printer_table,0.447604,drawer wall,0.407641,0.039964,,,,,true,score<0.45,1755543919194,1755543919369,1755543920476
SCENE_A_MS,BASE-SCENE_A_MS-1755543875930,2025-08-18T19:05:30.349583,46d85b19-e1e9-440b-9dec-2a986db22567,T06,base,shelves with a black frame and a black bag on top of them,cardboard boxes,0.401175,qr bookshelf,0.380648,0.020527,,,,,true,score<0.45,1755543929077,1755543929264,1755543930349
SCENE_A_MS,WARMUP,2025-08-18T19:21:34.134547,5cccca5e-c011-4a1c-8e18-24068e1c4204,T06,base,warmup,First photo - preset output,,,,,,,,,,,,,,1755544888203,1755544888399,1755544894134
SCENE_A_MS,BASE-SCENE_A_MS-1755544894124,2025-08-18T19:21:49.330186,dffd984f-df52-406a-ba4c-2d21cfc45f01,T06,base,there is a workbench with tools on it in a room,drawer wall,0.393211,poi_component_drawer_wall,0.361647,0.031564,,,,,true,score<0.45,1755544907477,1755544907656,1755544909330
SCENE_A_MS,BASE-SCENE_A_MS-1755544894124,2025-08-18T19:21:59.343457,a3289e8a-37e2-48cb-a524-04234e06d6e3,T06,base,there is a book shelf with books on it in a room,qr bookshelf,0.585493,dp_bookshelf_qr,0.499955,0.085538,,,,,false,,1755544917918,1755544918108,1755544919343
SCENE_A_MS,BASE-SCENE_A_MS-1755544894124,2025-08-18T19:22:07.312535,9a143005-681e-4c15-9d69-df82f846394d,T06,base,there is a large glass door with a sign on it,atrium_entry,0.497900,open atrium,0.327494,0.170405,,,,,false,,1755544925923,1755544926153,1755544927312
SCENE_A_MS,BASE-SCENE_A_MS-1755544894124,2025-08-18T19:22:17.193026,cb77aad7-39ac-43a8-8154-f8f079f31326,T06,base,there is a chair that is sitting in a room with a yellow line,dp_ms_entrance,0.302811,open atrium,0.294849,0.007962,,,,,true,score<0.45,1755544935795,1755544936019,1755544937192
SCENE_A_MS,BASE-SCENE_A_MS-1755544894124,2025-08-18T19:22:31.804812,324705ca-6e0b-47cc-b543-7c826021f59e,T06,base,there is a room with a lot of work equipment in it,drawer wall,0.358880,poi_component_drawer_wall,0.341542,0.017338,,,,,true,score<0.45,1755544950530,1755544950713,1755544951804
SCENE_A_MS,BASE-SCENE_A_MS-1755544894124,2025-08-18T19:22:41.876042,ed731535-73fe-4380-ab9b-0c8749ced09b,T06,base,there is a desk with a bunch of electronics on it,poi_component_drawer_wall,0.440571,drawer wall,0.433867,0.006704,,,,,true,score<0.45,1755544960590,1755544960786,1755544961875
SCENE_A_MS,BASE-SCENE_A_MS-1755544894124,2025-08-18T19:22:50.580569,db5f1684-0712-4434-b42f-effab6c04081,T06,base,boxes are stacked on a table in a room with a printer and printer,poi_3d_printer_table,0.603008,boxes on floor,0.596333,0.006675,,,,,true,margin<0.08,1755544969133,1755544969399,1755544970580
SCENE_B_STUDIO,WARMUP,2025-08-18T21:15:55.930572,7280928f-80b7-4fce-a030-b0edb2e14e17,T01,base,warmup,First photo - preset output,,,,,,,,,,,,,,1755551750111,1755551750429,1755551755930
SCENE_B_STUDIO,WARMUP,2025-08-21T15:30:56.897063,5cebddbe-3e9e-4fa4-b072-871a7a45b31b,P01,base,warmup,First photo - preset output,,,,,,,,,,,,,,1755790254050,1755790254414,1755790256897
SCENE_B_STUDIO,BASE-SCENE_B_STUDIO-1755790256992,2025-08-21T15:31:09.424325,d6db1f49-3391-4165-85d3-6e027ba869c3,P01,base,there is a computer monitor sitting on a desk with a laptop,display,0.421120,tv screen,0.409876,0.011244,,,,,true,score<0.45,1755790267656,1755790268077,1755790269424
SCENE_B_STUDIO,BASE-SCENE_B_STUDIO-1755790256992,2025-08-21T15:31:20.195584,d7c76780-a636-42cf-9652-ea540aa3a0e2,P01,base,there is a woman sitting in a chair in a room with a laptop,chair,0.376360,chair next to the orange sofa,0.322588,0.053773,,,,,true,score<0.45,1755790278282,1755790278634,1755790280195
SCENE_B_STUDIO,WARMUP,2025-08-21T16:01:46.133358,643bc589-b1e5-4247-a01b-6f42c0a8b8bc,P01,base,warmup,First photo - preset output,,,,,,,,,,,,,,1755792100419,1755792100810,1755792106133
SCENE_B_STUDIO,WARMUP,2025-08-22T13:25:55.331826,1e1bf854-6c3a-4c17-a8c5-46ea314454e2,P01,base,warmup,First photo - preset output,,,,,,,,,,,,,,1755869153384,1755869154060,1755869155331
SCENE_B_STUDIO,BASE-SCENE_B_STUDIO-1755869155308,2025-08-22T13:26:02.649952,0134e678-e529-4e58-9f9a-4ade2b3a5ce5,P01,base,there is a large screen tv sitting on a desk in a room,tv screen,0.719323,large TV screen near entry,0.713547,0.005775,,,,,true,margin<0.08,1755869161094,1755869161597,1755869162649
